Date,SPX Index,USGG10YR Index,USDMXN Curncy,XAU Curncy
2015-01-02,2010.76,2.031,14.5307,1190.62
2015-01-05,2008.79,2.076,14.4804,1203.54
2015-01-06,2022.65,2.099,14.4296,1203.26
2015-01-07,2054.51,2.059,14.3101,1201.23
2015-01-08,2050.53,2.052,14.4912,1203.66
2015-01-09,2046.55,2.052,14.4937,1191.63
2015-01-12,2079.96,2.073,14.4721,1189.91
2015-01-13,2096.82,2.096,14.3794,1198.27
2015-01-14,2087.84,2.071,14.6791,1205.58
2015-01-15,2100.03,2.074,14.5704,1203.01
2015-01-16,2091.16,2.09,14.5279,1205.73
2015-01-19,2082.28,2.141,14.5714,1197.17
2015-01-20,2088.16,2.166,14.634,1205.14
2015-01-21,2049.4,2.193,14.7336,1204.66
2015-01-22,2015.16,2.196,14.9224,1202.03
2015-01-23,2004.66,2.246,14.9766,1198.48
2015-01-26,1985.26,2.26,14.8675,1198.16
2015-01-27,1992.3,2.23,14.8419,1193.7
2015-01-28,1975.08,2.279,14.8751,1201.15
2015-01-29,1948.16,2.304,15.0933,1197.25
2015-01-30,1977.72,2.288,14.9475,1214.9
2015-02-02,1974.05,2.271,15.0751,1231.4
2015-02-03,1976.17,2.282,15.0953,1221.92
2015-02-04,1949.0,2.298,15.1853,1223.05
2015-02-05,1939.19,2.305,15.1757,1216.28
2015-02-06,1942.12,2.316,15.0876,1213.07
2015-02-09,1920.66,2.375,15.1684,1235.5
2015-02-10,1928.66,2.413,15.2392,1232.46
2015-02-11,1917.88,2.42,15.3445,1236.83
2015-02-12,1913.06,2.453,15.3443,1243.24
2015-02-13,1902.34,2.417,15.2812,1232.47
2015-02-16,1938.68,2.431,15.1166,1223.39
2015-02-17,1939.2,2.494,15.2048,1210.54
2015-02-18,1919.56,2.486,15.2512,1201.29
2015-02-19,1936.19,2.457,15.1496,1171.22
2015-02-20,1913.46,2.434,15.0938,1177.32
2015-02-23,1918.23,2.396,15.0458,1199.65
2015-02-24,1881.76,2.369,14.8916,1201.61
2015-02-25,1857.67,2.356,14.8078,1186.75
2015-02-26,1862.08,2.306,14.6919,1180.26
